时间,负荷值
1125,160.383
1126,152.561
1127,124.766
1128,118.255
1129,109.396
1130,107.202
1131,106.566
1132,103.924
1133,104.672
1134,101.665
1135,102.818
1136,116.773
1137,129.775
1138,118.456
1139,98.221
1140,111.169
1141,134.202
1142,112.649
1143,91.564
1144,97.268
1145,108.008
1146,125.312
1147,156.041
1148,155.894
1149,154.719
1150,147.653
1151,140.897
1152,122.347
1153,127.313
1154,121.848
1155,110.123
1156,101.775
1157,102.196
1158,106.965
1159,110.938
1160,132.374
1161,142.805
1162,141.853
1163,115.469
1164,113.97
1165,107.538
1166,103.022
1167,104.349
1168,110.261
1169,123.827
1170,143.756
1171,171.018
1172,163.881
1173,156.353
1174,159.758
1175,145.661
1176,127.045
1177,120.145
1178,113.116
1179,106.098
1180,105.277
1181,110.167
1182,113.705
1183,133.325
1184,137.054
1185,150.119
1186,134.275
1187,130.368
1188,110.884
1189,121.393
1190,109.855
1191,96.589
1192,114.821
1193,114.117
1194,129.818
1195,158.339
1196,151.357
1197,145.801
1198,140.585
1199,128.744
1200,111.097
1201,106.058
1202,103.845
1203,102.318
1204,98.046
1205,98.028
1206,105.648
1207,111.707
1208,110.903
1209,130.943
1210,142.97
1211,130.209
1212,128.637
1213,139.332
1214,131.592
1215,128.725
1216,133.49
1217,142.444
1218,145.418
1219,188.627
1220,182.603
1221,176.841
1222,163.774
1223,151.789
1224,139.611
1225,129.352
1226,122.851
1227,115.921
1228,117.687
1229,122.594
1230,127.634
1231,132.901
1232,156.933
1233,170.229
1234,178.253
1235,165.353
1236,151.929
1237,146.109
1238,130.324
1239,127.531
1240,131.469
1241,157.45
1242,153.251
1243,165.988
1244,170.893
1245,162.821
1246,157.011
1247,148.702
1248,136.577
1249,136.027
1250,133.994
1251,125.201
1252,120.911
1253,126.317
1254,126.55
1255,139.354
1256,143.093
1257,160.239
1258,162.073
1259,155.64
1260,140.907
1261,136.13
1262,139.468
1263,134.366
1264,142.485
1265,158.046
1266,166.442
1267,188.23
1268,196.172
1269,194.22
1270,186.358
1271,163.228
1272,155.264
1273,150.729
1274,143.048
1275,141.959
1276,140.342
1277,139.562
1278,146.207
1279,153.11
1280,157.048
1281,169.811
1282,162.062
1283,156.154
1284,146.273
1285,134.02
1286,132.623
1287,142.148
1288,150.944
1289,160.251
1290,177.323
1291,182.93
1292,201.552
1293,177.745
1294,164.657
1295,156.065
1296,154.075
1297,153.664
1298,146.772
1299,144.372
1300,139.994
1301,143.155
1302,142.32
1303,146.391
1304,158.858
1305,186.37
1306,203.459
1307,182.706
1308,199.396
1309,193.722
1310,193.823
1311,214.718
